Reference,Quantity,Digikey No.,Part No.
CUBE-PB4 C13 C17 C31,25,490-10748-1-ND,GRM21BR61E106MA73L
CUBE-PB4 C14,10,587-1438-1-ND,GMK212B7105KG-T
CUBE-PB4 C19-22,20,PCE5080CT-ND,35SVPD47M
CUBE-PB4 C23-26,25,490-10531-1-ND,GRM32EC81C476KE15L
CUBE-PB4 F1-6,25,F9967CT-ND,NANOSMD400LR-C-2
CUBE-PB4 J1,10,455-1649-ND,B3PS-VH(LF)(SN)
CUBE-PB4 J2-7,10,455-1648-ND,B2PS-VH(LF)(SN)
CUBE-PB4 J9,10,455-2486-ND,S10B-PUDSS-1(LF)(SN)
CUBE-PB4 L1-7,50,587-1770-1-ND,FBMJ3216HM600-T
CUBE-PB4 R13,10,RMCF0603FT38K3CT-ND,RMCF0603FT38K3
CUBE-PB4 R17 R19,10,541-1.00CCCT-ND,CRCW08051R00FKEA
CUBE-PB4 R20 R22,100,RNCP0603FTD10K0CT-ND,RNCP0603FTD10K0
CUBE-PB4 R21 R23,100,311-17.8KHRCT-ND,RC0603FR-0717K8L
CUBE-PB4 U1,2,LMZ14203TZX-ADJ/NOPBCT-ND,LMZ14203TZX-ADJ/NOPB
CUBE-PB4 U4,5,1428-1019-1-ND,MPU-9250
CUBE-PB4 U5,5,296-38847-1-ND,ADS1000A0IDBVR
CUBE-PW4 CN1,10,455-2469-ND,PUDP-10V-S
for Amphenol Mini-PV,25,609-4518-ND,47745-001LF
for JST PUDR,100,455-2518-1-ND,SPUD-001T-P0.5
